كود الصنف;اسم الصنف;المجموعة;السعر;النقاط 
RA-F1001201;وحدة انارة غاطسة دوان لايت ليد 7 وات متحرك ابيض;داون ALUM;6.5;1
RA-F1001202;وحدة انارة غاطسة دوان لايت ليد 7 وات متحرك اصفر;داون ALUM;6.5;1
RA-F1001203;وحدة انارة غاطسة دوان لايت ليد 7 وات متحرك 4000K;داون ALUM;6.5;1
RA-F1001204;وحدة انارة غاطسة دوان لايت ليد 7 وات  3000  - فريم بلاستيك;داون ALUM;6.5;1
RA-F1001205;وحدة انارة غاطسة دوان لايت ليد 15وات  3000- فريم بلاستيك;داون ALUM;10;2
RA-F1002001;وحدة انارة داون لايت مخفي 7 وات HALA LIGHT 6500K;داون ALUM;8.25;2
RA-F1002002;وحدة انارة داون لايت مخفي 7 وات HALA LIGHT 3000K;داون ALUM;8.25;2
RA-F1002003;وحدة انارة داون لايت مخفي 7 وات HALA LIGHT 4000K;داون ALUM;8.25;2
RA-F1002004;وحدة انارة داون لايت مخفي 10وات HALA LIGHT 6500K;داون ALUM;11.65;3
RA-F1002005;وحدة انارة داون لايت مخفي 10وات HALA LIGHT 3000K;داون ALUM;11.65;3
RA-F1002006;وحدة انارة داون لايت مخفي 10وات HALA LIGHT 4000K;داون ALUM;11.65;3
RA-F1002007;وحدة انارة داون لايت مخفي 15وات HALA LIGHT 6500K;داون ALUM;14;3
RA-F1002008;وحدة انارة داون لايت مخفي 15وات HALA LIGHT 3000K;داون ALUM;14;3
RA-F1002009;وحدة انارة داون لايت مخفي 15وات HALA LIGHT 4000K;داون ALUM;14;3
RA-F1002010;وحدة انارة داون لايت مخفي 30 وات HALA LIGHT 6500K;داون ALUM;21.5;5
